year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,2290.0,7.0,45.0,56.0,11.0,23.0,16.0,0.0,0.0,0.0,5.0,1.0,25.0,1.0,1.0,112,27.0,21.0,61.0
2.0,2249.0,7.0,46.0,73.0,8.0,18.0,9.0,1.0,3.0,18.0,1.0,0.0,62.0,1.0,1.0,96,0.0,12.0,22.0
2.0,3400.0,4.0,25.0,96.0,50.0,7.0,1.0,12.0,15.0,18.0,4.0,6.0,209.0,1.0,4.0,234,19.0,21.0,39.0
2.0,3115.0,4.0,32.0,114.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,34.0,1.0,4.0,166,26.0,20.0,38.0
2.0,52.0,2.0,74.0,109.0,75.0,11.0,13.0,13.0,106.0,49.0,2.0,1.0,106.0,0.0,5.0,132,19.0,9.0,10.0
2.0,1374.0,3.0,7.0,76.0,26.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,14.0,0.0,3.0,55,24.0,2.0,17.0
2.0,1971.0,3.0,10.0,33.0,18.0,18.0,0.0,3.0,9.0,12.0,7.0,3.0,47.0,0.0,3.0,43,8.0,6.0,36.0
2.0,2151.0,3.0,17.0,73.0,39.0,19.0,0.0,1.0,0.0,0.0,5.0,2.0,42.0,0.0,3.0,30,23.0,1.0,25.0
2.0,3068.0,5.0,3.0,46.0,30.0,10.0,0.0,4.0,23.0,0.0,3.0,3.0,15.0,1.0,2.0,59,4.0,1.0,5.0
2.0,522.0,2.0,8.0,168.0,96.0,0.0,20.0,0.0,0.0,0.0,8.0,6.0,240.0,0.0,5.0,254,30.0,10.0,35.0
2.0,2645.0,20.0,14.0,53.0,69.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,121.0,2.0,15.0,65,30.0,0.0,18.0
2.0,2580.0,16.0,33.0,59.0,89.0,20.0,7.0,22.0,0.0,0.0,6.0,4.0,3.0,0.0,3.0,156,28.0,3.0,22.0
2.0,932.0,20.0,19.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,245.0,2.0,15.0,229,21.0,3.0,65.0
2.0,2698.0,11.0,46.0,47.0,20.0,12.0,0.0,18.0,51.0,100.0,1.0,1.0,102.0,1.0,1.0,116,10.0,4.0,27.0
2.0,3004.0,0.0,222.0,47.0,22.0,2.0,8.0,10.0,33.0,29.0,1.0,5.0,212.0,0.0,7.0,169,30.0,46.0,44.0
2.0,758.0,9.0,1.0,79.0,25.0,22.0,0.0,16.0,29.0,18.0,0.0,4.0,143.0,0.0,8.0,148,27.0,15.0,68.0
2.0,550.0,6.0,0.0,15.0,66.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,169.0,1.0,6.0,142,13.0,13.0,2.0
2.0,2683.0,12.0,52.0,137.0,95.0,24.0,8.0,35.0,77.0,27.0,0.0,5.0,147.0,0.0,11.0,167,22.0,3.0,12.0
2.0,157.0,19.0,32.0,10.0,54.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,220.0,2.0,14.0,188,3.0,1.0,57.0
2.0,3259.0,7.0,5.0,35.0,26.0,6.0,11.0,11.0,32.0,57.0,3.0,3.0,157.0,1.0,1.0,37,23.0,2.0,17.0
2.0,2953.0,6.0,21.0,0.0,61.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,77.0,1.0,6.0,139,28.0,15.0,28.0
2.0,1706.0,1.0,11.0,7.0,6.0,3.0,0.0,6.0,0.0,0.0,5.0,0.0,132.0,1.0,2.0,85,6.0,11.0,30.0
2.0,88.0,7.0,13.0,73.0,36.0,6.0,7.0,3.0,15.0,2.0,8.0,4.0,168.0,1.0,1.0,140,23.0,16.0,29.0
2.0,2073.0,5.0,18.0,3.0,22.0,13.0,18.0,3.0,56.0,3.0,5.0,5.0,179.0,1.0,2.0,198,3.0,23.0,63.0
2.0,3070.0,10.0,26.0,44.0,56.0,15.0,13.0,25.0,113.0,35.0,2.0,0.0,17.0,0.0,5.0,84,10.0,2.0,30.0
2.0,1455.0,9.0,87.0,51.0,47.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,85.0,0.0,8.0,22,14.0,2.0,5.0
2.0,3414.0,0.0,2.0,9.0,4.0,19.0,0.0,7.0,15.0,44.0,6.0,5.0,148.0,0.0,0.0,171,6.0,17.0,12.0
2.0,2504.0,0.0,76.0,63.0,17.0,4.0,0.0,2.0,0.0,0.0,3.0,4.0,109.0,0.0,0.0,149,0.0,18.0,21.0
2.0,1222.0,9.0,35.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,20.0,0.0,8.0,1,30.0,1.0,69.0
2.0,2484.0,9.0,0.0,79.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,217.0,0.0,8.0,225,6.0,11.0,51.0
2.0,2332.0,9.0,68.0,22.0,20.0,18.0,0.0,15.0,93.0,16.0,2.0,1.0,1.0,0.0,8.0,106,4.0,9.0,20.0
