year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2005,Dustin Colquitt,15.0,,211,4,,,,,,20.0,99,27.0,1,127,67,2.0,8.0
2007,Dwayne Bowe,0.0,,221,4,33,,125,6,4,1.0,23,27.0,2,15,94,0.0,2.0
2009,James Davis,2.0,,218,4,32,17,109,7,4,5.0,195,14.0,11,124,63,1.0,0.0
2011,Mikel Leshoure,2.0,,227,4,38,21,122,6,4,51.0,57,9.0,3,37,86,0.0,5.0
2012,Jared Crick,4.0,,279,4,31,,104,7,4,24.0,126,30.0,15,133,62,1.0,1.0
2012,Trumaine Johnson,1.0,,204,4,35,19,122,7,4,91.0,141,26.0,NA,NA,NA,1.0,0.0
2013,J.J. Wilcox,3.0,,213,4,35,17,124,7,4,NaN,,NaN,,,,1.0,0.0
2014,A.J. McCarron,10.0,,220,4,28,,99,7,4,NaN,,NaN,,,,0.0,7.0
2015,Marcus Murphy,2.0,,198,4,29,11,109,,4,45.0,230,28.0,23,250,40,0.0,5.0
2007,Jon Beason,7.0,,237,4,,19,111,,,13.0,25,20.0,2,27,91,1.0,4.0
2012,Trenton Robinson,3.0,,195,4,35,15,125,,4,NaN,,NaN,,,,NaN,NaN
2021,Johnathon Johnson,0.0,,,,,,,,,NaN,,NaN,,,,NaN,NaN
2021,Jordan Smith,7.0,,264,4,33,16,117,,,129.0,121,13.0,8,161,59,1.0,4.0
2000,Matt Keller,16.0,,235,4,,,,,,NaN,,NaN,,,,NaN,NaN
2001,T.J. Turner,11.0,,273,4,,,,,,23.0,239,22.0,NA,NA,NA,1.0,1.0
2006,Willie Reid,0.0,,188,4,37,,117,7,4,2.0,95,5.0,2,128,64,0.0,2.0
2007,Ted Ginn,0.0,,178,4,,,,,,NaN,,NaN,,,,0.0,2.0
2007,Brandon Siler,11.0,,241,4,30,,109,7,,4.0,240,26.0,3,77,76,1.0,4.0
2007,Steve Smith,0.0,,197,4,38,,120,6,4,12.0,81,35.0,NA,NA,NA,0.0,2.0
2009,Jason Boltus,10.0,,225,4,31,26,111,7,4,NaN,,NaN,,,,NaN,NaN
2009,Andre Smith,5.0,,332,5,,,,,,30.0,234,20.0,11,259,41,0.0,3.0
2011,Greg Romeus,4.0,,264,4,,,,,,46.0,226,28.0,18,142,62,1.0,1.0
2012,Donte Paige-Moss,4.0,,268,4,,26,,,,NaN,,NaN,,,,NaN,NaN
2021,Jeremiah Littles,17.0,,278,5,26,17,98,7,4,NaN,,NaN,,,,NaN,NaN
2022,DaMarcus Fields,1.0,,193,4,34,,,,,NaN,,NaN,,,,NaN,NaN
2022,Tariq Woolen,1.0,,205,4,42,,,,,NaN,,NaN,,,,NaN,NaN
2008,Barry Booker,6.0,,285,5,,24,,,,NaN,,NaN,,,,NaN,NaN
2008,Wilrey Fontenot,1.0,,171,4,34,18,128,7,4,53.0,212,19.0,31,NA,30,1.0,0.0
2012,Lucas Nix,8.0,,317,5,29,,102,7,4,NaN,,NaN,,,,NaN,NaN
2016,Dominick Jackson,5.0,,313,5,26,20,97,,,6.0,NA,0.0,18,331,32,NaN,NaN
2016,Cassanova McKinzy,11.0,,248,4,,21,,,,NaN,,NaN,,,,NaN,NaN
2016,Hassan Ridgeway,6.0,,303,5,32,24,113,8,4,8.0,116,11.0,11,65,79,1.0,1.0
2001,Chris Brown,5.0,,329,5,,30,,,,9.0,164,5.0,NA,NA,NA,0.0,5.0
2005,Noah Herron,2.0,,224,4,31,17,108,6,3,72.0,244,5.0,22,227,50,0.0,5.0
2006,Kedric Golston,6.0,,300,4,33,31,111,7,4,7.0,196,23.0,17,NA,49,1.0,1.0
2010,Jeff Owens,6.0,,304,4,30,44,101,,4,NaN,,NaN,,,,1.0,1.0
2011,Joe Lefeged,3.0,,210,4,36,18,122,6,4,NaN,,NaN,,,,NaN,NaN
2012,Zebrie Sanders,5.0,,320,5,27,28,100,8,4,2.0,144,2.0,8,89,72,0.0,3.0
2014,Daniel Sorensen,3.0,,205,4,32,13,114,6,3,61.0,NA,0.0,15,213,45,NaN,NaN
2016,Branden Jackson,4.0,,273,5,31,20,113,7,4,NaN,,NaN,,,,NaN,NaN
2016,Nick O'Toole,15.0,,219,5,,,,,,NaN,,NaN,,,,NaN,NaN
2019,Anthony Johnson,0.0,,209,,32,18,122,7,,119.0,NA,0.0,22,152,63,0.0,5.0
2020,Kevin Davidson,10.0,,224,5,28,,109,7,4,NaN,,NaN,,,,NaN,NaN
2004,Randy Starks,6.0,,314,5,29,27,102,,,40.0,71,12.0,4,32,89,1.0,1.0
2004,Andrae Thurman,0.0,,192,4,34,,121,7,4,NaN,,NaN,,,,NaN,NaN
2006,Omar Jacobs,10.0,,232,4,32,,108,7,4,118.0,164,5.0,7,96,72,0.0,7.0
2007,Jonathan Wade,1.0,,195,4,40,,126,7,4,20.0,84,32.0,9,65,79,1.0,0.0
2008,Antoine Cason,1.0,,191,4,35,20,128,,4,53.0,27,26.0,7,42,86,1.0,0.0
2008,Mike Gibson,8.0,,305,5,27,31,110,7,4,35.0,184,8.0,14,NA,42,0.0,3.0
2008,Nick Hayden,6.0,,291,5,27,34,108,7,4,32.0,181,20.0,17,NA,47,1.0,1.0
2010,Albert McClellan,11.0,,247,4,36,26,119,7,4,NaN,,NaN,,,,NaN,NaN
2010,Tony Moeaki,9.0,,245,4,34,18,113,7,4,31.0,93,27.0,10,NA,62,0.0,6.0
2016,Brandon Doughty,10.0,,213,5,27,,103,7,4,94.0,223,24.0,14,272,39,0.0,7.0
2021,Tedarrell Slaton,17.0,,330,5,29,27,109,7,4,4.0,173,15.0,21,335,30,1.0,1.0
2002,Josh Norman,9.0,,236,4,32,18,115,,,132.0,143,20.0,9,76,77,1.0,0.0
2005,Alex Barron,5.0,,320,4,35,,112,7,4,2.0,19,32.0,1,13,95,0.0,3.0
2006,Kevin Boothe,5.0,,316,5,31,23,98,8,5,203.0,176,31.0,7,150,60,0.0,3.0
