Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Reggie Williams,0.0,76,229,4.56,,,,,,2004,20.0,1,9,0.0,3.0,0.0,35.0,9,4,16,95
Kris Richard,1.0,71,186,4.47,39.5,10.0,120.0,,4.15,2002,0.0,3,85,1.0,0.0,5.0,3.0,85,NA,NA,NA
Billy Pittman,0.0,71,189,4.7,32.5,12.0,114.0,7.04,4.4,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Ka'Imi Fairbairn,16.0,71,183,4.96,,,,,,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Matt Roth,3.0,76,278,4.81,32.0,26.0,112.0,7.65,4.36,2005,18.0,2,46,1.0,1.0,2.0,0.0,NA,5,23,91
Curtis Painter,8.0,75,225,4.87,29.0,,102.0,7.0,4.48,2009,22.0,6,201,0.0,7.0,11.0,47.0,201,13,NA,39
Tony Stewart,9.0,77,256,4.96,35.5,,109.0,7.3,4.4,2001,8.0,5,147,0.0,6.0,8.0,15.0,147,NA,NA,NA
Ladell Betts,2.0,70,220,4.62,38.0,23.0,116.0,7.06,4.06,2002,28.0,2,56,0.0,5.0,1.0,23.0,56,NA,NA,NA
Andre Johnson,0.0,74,230,4.41,39.0,,132.0,,,2003,16.0,1,3,0.0,3.0,0.0,8.0,3,NA,NA,NA
Laurence Gibson,4.0,78,305,5.04,33.5,24.0,113.0,7.72,4.56,2015,14.0,7,243,0.0,2.0,3.0,12.0,243,21,231,42
Jaison Williams,0.0,76,237,4.47,35.5,14.0,118.0,7.37,4.56,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Pannel Egboh,3.0,78,276,4.86,31.5,26.0,116.0,7.24,4.4,2009,NaN,,,NaN,NaN,2.0,0.0,NA,18,204,48
Brandon Deaderick,5.0,76,314,5.08,,,,,,2010,19.0,7,247,1.0,1.0,2.0,6.0,247,16,NA,53
Javon Nanton,3.0,75,250,4.8,28.5,22.0,108.0,,,2006,NaN,,,NaN,NaN,NaN,NaN,,,,
Alex Carrington,3.0,77,285,4.92,,26.0,,,,2010,7.0,3,72,1.0,1.0,2.0,96.0,72,7,79,74
Brandon Boykin,1.0,69,182,4.44,,,,,,2012,8.0,4,123,1.0,0.0,6.0,7.0,123,10,77,76
Terrence Frederick,1.0,70,187,4.44,35.0,16.0,121.0,6.59,4.03,2012,6.0,7,246,1.0,0.0,6.0,17.0,246,33,NA,33
Matt Milano,6.0,72,223,4.67,35.0,24.0,126.0,,,2017,7.0,5,163,1.0,4.0,10.0,37.0,163,14,229,45
James Anderson,6.0,75,229,4.59,41.0,,121.0,6.67,4.07,2006,9.0,3,88,1.0,4.0,9.0,12.0,88,9,111,69
Tevin McDonald,11.0,71,195,4.63,33.0,19.0,112.0,7.01,4.26,2015,NaN,,,NaN,NaN,NaN,NaN,,,,
Erik Ainge,8.0,77,225,4.98,21.5,,108.0,7.51,4.6,2008,25.0,5,162,0.0,7.0,11.0,9.0,162,7,117,66
Geneo Grissom,6.0,75,262,4.81,37.0,20.0,117.0,7.24,4.38,2015,19.0,3,97,1.0,1.0,2.0,10.0,97,14,150,55
B.J. Hill,5.0,76,311,4.99,26.5,35.0,101.0,7.28,4.53,2018,NaN,,,1.0,1.0,4.0,43.0,69,5,58,81
Auden Tate,0.0,77,228,4.68,31.0,,112.0,,,2018,NaN,,,0.0,3.0,0.0,5.0,253,23,192,55
Victor Butler,6.0,74,248,4.72,33.0,24.0,113.0,7.21,4.4,2009,14.0,4,110,1.0,4.0,10.0,51.0,110,16,180,52
Langston Moore,5.0,73,303,5.04,32.0,29.0,104.0,7.64,4.29,2003,12.0,6,174,1.0,1.0,4.0,24.0,174,NA,NA,NA
Jamal Adams,12.0,72,214,4.56,31.5,18.0,120.0,6.96,4.13,2017,25.0,1,6,1.0,0.0,12.0,1.0,6,1,2,94
Joseph Davidson,14.0,79,232,,,,,,,2018,NaN,,,NaN,NaN,NaN,NaN,,,,
Matt Bowen,12.0,73,201,4.49,33.0,12.0,115.0,7.06,4.09,2000,24.0,6,198,1.0,0.0,5.0,23.0,198,NA,NA,NA
Cyril Richardson,7.0,77,329,5.36,25.5,25.0,91.0,7.7,4.83,2014,7.0,5,153,0.0,2.0,7.0,52.0,153,6,118,64
Mike Jones,7.0,77,309,5.46,25.5,28.0,98.0,7.8,4.88,2007,NaN,,,1.0,1.0,7.0,0.0,NA,13,241,39
Kyle Lauletta,8.0,75,222,4.81,31.0,,113.0,6.95,4.07,2018,NaN,,,0.0,7.0,11.0,104.0,108,7,66,78
Martin Bibla,7.0,75,306,5.08,,35.0,,,,2002,21.0,4,116,0.0,2.0,7.0,8.0,116,NA,NA,NA
Mike Watson,4.0,76,316,5.46,27.5,,100.0,,,2005,NaN,,,NaN,NaN,3.0,90.0,71,NA,NA,NA
Darryl Richard,5.0,74,303,5.08,25.5,17.0,,,,2009,19.0,7,234,1.0,1.0,4.0,44.0,234,18,197,49
Tarlos Thomas,4.0,77,336,5.52,25.0,19.0,92.0,8.6,4.9,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Demarcus Dobbs,3.0,74,281,4.87,31.0,,107.0,7.22,4.37,2011,NaN,,,NaN,NaN,NaN,NaN,,,,
Jarron Gilbert,3.0,77,288,4.81,35.5,28.0,119.0,7.7,4.56,2009,26.0,3,68,1.0,1.0,4.0,88.0,68,5,60,80
Isaiah Burse,0.0,70,188,4.58,31.0,16.0,115.0,6.74,3.94,2014,NaN,,,NaN,NaN,0.0,56.0,NA,35,250,40
Marko Cavka,4.0,79,294,5.17,27.5,27.0,107.0,7.53,4.37,2004,NaN,,,0.0,2.0,3.0,155.0,178,22,281,41
Bennie Logan,5.0,74,309,5.08,25.0,30.0,104.0,7.53,4.67,2013,8.0,3,67,1.0,1.0,4.0,1.0,67,10,84,75
Matt Mauck,8.0,74,228,4.79,,,,,,2004,13.0,7,225,0.0,7.0,11.0,1.0,225,12,206,52
Reid Fragel,4.0,80,308,5.14,30.0,33.0,113.0,7.62,4.68,2013,12.0,7,240,0.0,2.0,3.0,2.0,240,12,136,63
Jonathan Hefney,11.0,68,190,4.52,29.0,14.0,117.0,7.1,4.44,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Bryan Anger,14.0,76,208,4.86,,,,,,2012,20.0,3,70,2.0,8.0,15.0,25.0,70,2,NA,31
Antoine Harris,9.0,75,260,4.93,,11.0,,,,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Melvin Oliver,3.0,75,276,5.08,,,,,,2006,4.0,6,197,1.0,1.0,2.0,1.0,197,30,NA,31
Maurice Hurt,7.0,75,318,5.39,,18.0,,,,2011,28.0,7,217,0.0,2.0,7.0,4.0,217,12,225,43
Curtis Samuel,0.0,71,196,4.31,37.0,18.0,119.0,7.09,4.33,2017,9.0,2,40,0.0,3.0,0.0,2.0,40,5,42,86
Donte Jackson,1.0,71,175,4.32,,7.0,124.0,,,2018,NaN,,,1.0,0.0,6.0,1.0,55,5,45,84
Jamaal Charles,2.0,71,200,4.38,30.5,,122.0,6.8,4.22,2008,29.0,3,73,0.0,5.0,1.0,16.0,73,6,45,86
Channing Stribling,1.0,73,188,4.6,31.5,5.0,114.0,6.94,4.56,2017,NaN,,,NaN,NaN,6.0,13.0,NA,29,276,39
Reggie McNeal,8.0,74,198,4.4,32.0,,121.0,6.96,4.25,2006,12.0,6,193,0.0,7.0,0.0,17.0,193,10,146,61
